state,village,built_up_score,road_score,mining_score,human_pressure_score,human_pressure_class,human_pressure_rank
CG,Tumdiboda,0.1728,0.3425016707370749,0.0366152743759509,0.18285508353390773,Very High Pressure,1
UP,Dindaspur,0.0,0.3,0.4238703978069073,0.21716111934207216,High Pressure,2
UP,Bhedahan,0.1394,0.3,0.4456110358775085,0.2794433107632526,High Pressure,3
UP,Pathra,0.0,0.0,1.0,0.3,High Pressure,4
UP,Baghera Khurd,0.0,0.5849398573417932,0.4401008058971274,0.30751219897167614,High Pressure,5
CG,Dashpur,0.0295,1.0,0.1930544248016426,0.36971632744049276,High Pressure,6
CG,Sidesar,0.3056,0.8105601055729648,0.1728927236174624,0.41727584875712814,Moderate Pressure,7
UP,Balapur,0.4657,0.4068457129718216,0.4149937726827446,0.43283184569636984,Moderate Pressure,8
MP,Mor,0.5594,0.5358740127063532,0.1857235472433966,0.4402392679849249,Moderate Pressure,9
CG,Bargaon,0.4643,0.9038104000750408,0.0667450175208693,0.476886625278773,Moderate Pressure,10
CG,Sonesarar,0.5292,0.8913200595481958,0.0007344768142567,0.47929636090873573,Moderate Pressure,11
JH,Nawagarh,0.7516,0.6001894388670059,0.0364032879394253,0.4916178180419294,Moderate Pressure,12
UP,Rehunchi,0.4939,0.7665993447824752,0.215167665163257,0.4920901029837196,Moderate Pressure,13
MP,Bhim Kund,0.5583,0.897251124594836,0.0450812612524859,0.5060197157541966,Moderate Pressure,14
CG,Badepaneda,0.6708,0.6771280088816456,0.1181998002573808,0.5069183427417079,Moderate Pressure,15
JH,Rajadera,0.7671,0.6022447583006023,0.0722983064014239,0.5092029194106078,Moderate Pressure,16
JH,Rakua,0.6198,0.8934003299160642,0.0,0.5159400989748193,Moderate Pressure,17
CG,Dhanelikanhar,0.8267,0.5491527125203707,0.1010003933280233,0.5257259317545182,Moderate Pressure,18
CG,Margaon,0.768,0.9071111652524322,0.057749629669719,0.5966582384766453,Moderate Pressure,19
CG,Barchegondi,0.7586,0.9266359742359492,0.1044359042109691,0.6127615635340756,Low Pressure,20
MP,Ramgarh,0.7251,0.9401843314719268,0.138057913330464,0.6135126734407172,Low Pressure,21
JH,Rabda,0.8391,0.8014470528330446,0.1626339953922322,0.6248643144675831,Low Pressure,22
CG,Binjam,0.7956,0.9859892119128646,0.074830101069315,0.6364857938946539,Low Pressure,23
UP,Ram Nagara,0.5823,0.3484915667893328,1.0,0.6374674700367998,Low Pressure,24
MP,Dedla,0.7647,0.6846841312541776,0.4415662907855135,0.6437551266119073,Low Pressure,25
JH,Uparbarga,0.8617,0.9795633946710348,0.0488768655702722,0.6532120780723921,Low Pressure,26
