state,district,block,village,elevation_mean_m,relief_p95_p5_m,mean_slope_deg,soc_gkg_0_30,nitrogen_gkg_0_30,cec_cmolkg_0_30,phh2o_0_30,terrain_score,slope_score,soc_score,nitrogen_score,cec_score,ph_score,soil_score,physical_score,physical_label
Chhattisgarh,Rajnandgaon,KHAIRAGARH,Sonesarar,313.7804,6.0503,0.7458,6.0338,0.6359,34.7303,7.7333,1,1,0.3612,0.3181,0.6265,0.7667,0.5181,0.8394,Very Good
Chhattisgarh,Kanker,KANKER,Dhanelikanhar,416.515,32.6039,2.4717,7.1661,0.8408,16.9204,5.9554,0.7611,0.8543,0.6115,0.7292,0.1507,1,0.6228,0.7461,Good
Chhattisgarh,Dantewada,GEEDAM,Binjam,348.6661,24.9356,3.2676,7.2274,0.7701,11.7733,6.563,0.8302,0.7457,0.6251,0.5874,0.0132,1,0.5564,0.7108,Good
Chhattisgarh,Bijapur,BHAIRAMGARH,Ghotpal,342.4149,121.8385,6.052,8.957,0.9665,11.8833,5.9447,0,0.3657,1,0.9815,0.0161,1,0.7494,0.3717,Poor
Chhattisgarh,Dantewada,GEEDAM,Chhindnar,346.0026,16.4956,3.2966,7.1118,0.9556,11.2244,6.4287,0.9063,0.7417,0.5995,0.9596,0,1,0.6398,0.7626,Good
Chhattisgarh,Dantewada,GEEDAM,Hidpal,401.6961,69.1341,4.7403,8.594,1.0466,18.8489,6.1055,0.4319,0.5447,0.9272,1,0.2022,1,0.7824,0.5863,Moderate
Chhattisgarh,Bastar,TONKAPAL,Kohkapal,538.2241,11.6692,1.7677,6.2667,0.718,30.5879,5.0621,0.9498,0.9503,0.4127,0.4829,0.5158,0.5621,0.4934,0.7978,Good
Chhattisgarh,Bastar,JAGDALPUR,Ulnar,583.8311,20.9702,1.9178,8.7554,0.8806,38.7986,6.4343,0.866,0.9299,0.9629,0.809,0.7351,1,0.8768,0.8909,Very Good
Chhattisgarh,Narayanpur,NARAYANPUR,Borgaon,580.0047,34.5894,3.0461,8.169,0.8867,21.4278,6.0005,0.7432,0.7759,0.8333,0.8213,0.2711,1,0.7314,0.7502,Good
Chhattisgarh,Kondagaon,KONDAGAON,Chipawand,634.7257,30.7266,2.2647,8.227,0.9675,22.1543,6.2291,0.778,0.8825,0.8461,0.9834,0.2905,1,0.78,0.8135,Very Good
Chhattisgarh,Bastar,BAKABAND,Karpawand,593.9543,30.3336,1.4868,8.1266,0.9423,34.0991,6.2329,0.7816,0.9887,0.8239,0.9329,0.6096,1,0.8416,0.8706,Very Good
Chhattisgarh,Bastar,BAKABAND,Choknar,578.6046,28.2482,2.0085,8.4665,0.9545,29.7475,5.934,0.8004,0.9175,0.899,0.9573,0.4933,1,0.8374,0.8518,Very Good
Chhattisgarh,Gariyaband,MAINPUR,Bargaon,513.5659,25.187,2.9395,7.9629,0.937,21.5133,6.1329,0.8279,0.7904,0.7877,0.9223,0.2734,1,0.7459,0.7881,Good
Chhattisgarh,Rajnandgaon,DONGARGAON,Margaon,321.5718,14.6257,1.3982,5.9675,0.664,23.9114,6.7745,0.9231,1,0.3466,0.3744,0.3374,1,0.5146,0.8126,Very Good
Chhattisgarh,Kanker,KANKER,Sidesar,387.1344,14.9852,1.6248,6.7688,0.6439,13.6075,6.1883,0.9199,0.9698,0.5237,0.3341,0.0622,1,0.48,0.7899,Good
