state,district,block,village,selected_vlcode,rainfall_condition,surface_water_condition,flood_condition,drainage_condition,water_condition_overall,water_condition_tier,water_condition_status,water_condition_rank,rainfall_mean_2021_2025_mm,rainfall_cv_percent,rainfall_2025_anomaly_percent,surface_water_score,surface_water_status,flood_susceptibility_exposure,flood_susceptibility_condition,drainage_connectivity_condition
Chhattisgarh,Bastar,Bakawand,Choknar,449398,0.646429,0.3789,0.826316,0.0,0.545543,Moderate,Complete,20.0,1588.854731435109,14.579976743685538,6.6090690185428,37.89,VALID,0.173684,0.826316,0.0
Chhattisgarh,Bastar,Bakawand,Karpawand,449415,0.721429,0.8264,0.683213,0.0,0.626082,High,Complete,5.0,1617.21698601166,14.153895499055444,5.34267093234184,82.64,VALID,0.316787,0.683213,0.0
Chhattisgarh,Bastar,Bakawand,Kohkapal,449516,0.555357,0.9878,0.056206,0.680029,0.507466,Moderate,Complete,26.0,1608.104893225342,17.44680485603084,14.339561386945933,98.78,VALID,0.943794,0.056206,0.680029
Chhattisgarh,Bastar,Bakawand,Pharsigaon,449477,0.746429,0.6689,0.571121,0.0,0.553725,Moderate,Complete,18.0,1628.8570358301688,13.858650483364116,6.444753321178133,66.89,VALID,0.428879,0.571121,0.0
Chhattisgarh,Bastar,Bakawand,Ulnar,449121,0.578571,0.885,0.601468,0.162968,0.600852,High,Complete,6.0,1648.928904715915,17.025734932086646,18.352110843759075,88.5,VALID,0.398532,0.601468,0.162968
Chhattisgarh,Dantewada,Geedam,Bade Panera,450173,0.508929,0.5246999999999999,0.878947,0.0,0.566039,Moderate,Complete,13.0,1609.7124726749732,18.215774104845103,17.01911695555908,52.47,VALID,0.121053,0.878947,0.0
Chhattisgarh,Dantewada,Geedam,Binjam,450166,0.530357,0.7497,0.331925,0.364909,0.490924,Moderate,Complete,29.0,1573.9204847417604,16.482900922410597,15.177722759787518,74.97,VALID,0.668075,0.331925,0.364909
Chhattisgarh,Dantewada,Geedam,Chhindnar,450125,0.596429,0.31120000000000003,0.305262,0.321981,0.382046,Low,Complete,41.0,1598.1936005151158,16.23451651451024,13.60190993751261,31.12,VALID,0.694738,0.305262,0.321981
Chhattisgarh,Dantewada,Geedam,Ghotpal,450137,0.553571,0.3344,0.978947,0.0,0.564624,Moderate,Complete,14.0,1617.5754251908509,17.538218247243787,16.53487700370522,33.44,VALID,0.021053,0.978947,0.0
Chhattisgarh,Dantewada,Geedam,Hidpal,450134,0.578571,0.4747,0.921053,0.0,0.585686,Moderate,Complete,8.0,1649.2290172226542,18.1426470570782,17.884825919574173,47.47,VALID,0.078947,0.921053,0.0
